;cidade;descricao;contato;telefone;endereco;email;site
;Cariacica - ES;RS INDUSTRIA E COMERCIO DE CARNES EIRELI ME;;(27) 3254-2285 (27) 3254-1765 (27) 99910-0928;R. Lindolfo Cipreste - Vila Independência, Cariacica - ES, 29148-611;;
;Cariacica - ES;D'Frango Abatedouro & Frigorífico;Andressa;(27) 3226-0929;Av. Leopoldina, 1048 - Campo Grande, Cariacica - ES, 29146-430;;
;Cariacica - ES;D'Frango Abatedouro;;(27) 3236-6259;R. da Assembléia, 23 - Porto de Santana, Cariacica - ES, 29153-084;;
;Castelo - ES;Uniaves;Camila Lozorio  / Manutenção Gabriel Duarte;(28) 3542-8400;R. Felinto Elysio Martins, nº 1000, Castelo - ES, 29360-000;"camila.lozorio@uniaves.com.br; gabriel.duarte@uniaves.com.br";
;Colatina - ES;FRISA - Frigorífico Rio Doce S.A.;frisaeco@frisa.com.br;(27) 3723-3200;Av. Fioravante Rossi, 4000 - Honório Fraga, Colatina - ES, 29704-426;;
;Guaçuí - ES;Frigorífico FrigoLeo;;(27) 3327-5622;ES-185, Guaçuí - ES, 29560-000;;
;Linhares - ES;Frigorifico JC Alimentos;;;;;
;Linhares - ES;Proteinorte Alimentos - Kifrango e Xiken;Aparecida e Breno;27 2103.1133;Rua Henrique Coimbra, 469 CEP 29903-105 Interlagos – Linhares/ES;compras@proteinorte.com.br;
;Montanha - ES;Frigorífico Montanha ltda;Gustavo;(27) 3754-1391;Av. Nossa Sra. Aparecida, s/n - Angelo de Pollo, Montanha - ES, 29890-000;financeiro@frimont.com.br;
;Rod. Gov. Mário Covas, KM 228 - Centro, Fundão - ES, 29185-000;Forte Boi Indústria de Alimentos LTDA;Fábia Gomes - Setor de Compras - 27 99799-9284 /Manutenção -  Percival 27 99946-4199;(27) 3267-1144  Ramal - 230;Rod. Gov. Mário Covas, KM 228 - Centro, Fundão - ES, 29185-000;compras@forteboi.ind.br;
;Santa Maria de Jetibá-ES;Abatedouro de aves Stange Indústria e Comércio Ltda;Roberto (sac@frangossaudaveis.com.br);(27) 3263-0035 (27) 3140-0035 (27) 99981-0837;Rodovia Luiz Stange Km 08, Recreio, Santa Maria de Jetibá-ES 29645-000;saudaveis@hotmail.com;
;São Mateus - ES;KS ABATEDOURO LTDA ME;http://www.ksabatedouro.com.br/;(27) 99963-1697;São Mateus - ES;;
;Serra - ES;Cia do Boi;http://www.ciadoboi.com/;(27) 3228-3000;R. Ilma Henriques, 2 - Jardim Limoeiro, Serra - ES, 29164-082;;
;Serra - ES;Frigorífico Litoral Ltda;;(27) 3338-5195;R. Nove, 289 - Das Laranjeiras, Serra - ES, 29161-831;;
;Vargem Alta - ES;Frigorífico Sempre Amigo;;(28) 3525-1047;Vargem Alta - ES, 29295-000;;
;Viana - ES;Frigorífico Frilara;;(27) 3344-6845;R. Rio de Janeiro, 13 - Areinha, Viana - ES, 29135-000;;
;Viana - ES;Frigorífico Zucoloto;Ricardo;(27) 3011-9373;Viana - ES, 29135-000;frigorificozucoloto@hotmail.com;
;Viana - ES;BRF - ES;;(27) 3246-1516;Parque Industrial, Viana - ES, 29135-000;;
;Vila Velha - ES;Frigorífico Frincarnes;João SEM INTERESSE;(27) 3391-0985;R. José Rosalém, 5 - Santa Mônica, Vila Velha - ES, 29105-645;;
;Vila Velha - ES;KAJORY - Frigorífico Kinka Régis;mkt@kajory.com.br;(27) 3316-9585;Fazenda Kinka Régis, s/nº, - Cobilândia, Vila Velha - ES;;
;Vila Velha - ES;D'Frango;;(27) 3349-2883;Av. Sérgio Cardoso, 120 - Nova Itaparica, Vila Velha - ES, 29104-233;;
;Vila Velha - ES;DalCol Carnes;http://dalcolcarnes.com.br/;(27) 3286-2408;R. Anhanguera, 287 - Cristóvão Colombo, Vila Velha - ES, 29100-000;;
;;;;;;;
;;;;;;;
;;;;;;;
;Duque de Caxias - RJ;Friganso;vendas@friganso.com.br;(21) 2757-5710;Av. Arthur Antônio Sendas, 30 - Parque Analândia, Duque de Caxias - RJ, 25585-021;;
;Rio de Janeiro - RJ;Cantagalo - Frigorífico;contato@cantagalofrigorifico.com.br;(21) 2513-0148 | (21) 2523-7639;Estr. do Engenho d'Água, 1330 - Anil, Rio de Janeiro - RJ, 22765-240;;
;Rio de Janeiro - RJ;FrigoCopa;comercial@frigocopa.com.br  ;(21) 2574-1414;R. Sotero dos Reis, 13 - Praca da Bandeira, Rio de Janeiro - RJ, 20270-200;;
;Rio de Janeiro - RJ;Frigorífico Bandeirantes;;(21) 2234-9266;R. Sotero dos Reis, 31 - São Cristóvão, Rio de Janeiro - RJ, 20270-200;;
;Rio de Janeiro - RJ;Marechal Alimentos;falecom@marechalalimentos.com.br;(21) 96922-0008;R. Ana Neri, 1183 - Rocha, Rio de Janeiro - RJ, 20960-002;;
;Rio de Janeiro - RJ;FRIGOMAR COMERCIAL ALIMENTOS LTDA;;(21) 2584-7092;R. da Soja, 74 - Penha Circular, Rio de Janeiro - RJ, 21011-100;;
;Rio de Janeiro - RJ;Vipaz Frigorífico Comércio C R;;(21) 3847-3877;Av. Pref. Sá Lessa, 471 - Acari, Rio de Janeiro - RJ, 21530-040;;
;Rio de Janeiro - RJ;Frisa Frigorífico Rio Doce;;;Av. das Américas, 700 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-100;;
;Rio de Janeiro - RJ;Poli Meat Alimentos Ltda;;(21) 3889-2700;Rua do Trigo, 87 - Penha Circular, Rio de Janeiro - RJ, 21011-690;;
;São João de Meriti - RJ;Frigorífico Novo Meriti;contato@novomeriti.net;(21) 2755-9901;Av. Arthur Antônio Sendas, 1752 - Pqe Analandia, São João de Meriti - RJ, 25585-020;;
;São João de Meriti - RJ;QUEBRAMAR CARNES;;(21) 3753-4981;R. Maria Gonzaga, 19 - Vila Norma, São João de Meriti - RJ, 25535-482;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;Marfrig Frigorífico e Comércio de Alimentos;;(19) 3811-7023;Rua Benedito Pereira 415, SP, 13840-000;;
;Artur Nogueira - SP;Transui Frigorífico de Suínos;Valdemir Claro;(19) 3877-2129 (19) 97402-2894;R. São Bento, 613 - Jd Ricardo Duzzi, Artur Nogueira - SP, 13160-000;valdemirclaro@transui.com.br;
;Bariri - SP;Frigorífico Fribordogue;Elaine;(14) 3662-9610;Rodovia Deputado Leônidas Pachêco Ferreira, Km 327, s/n - Zona Rural, Bariri - SP, 17250-000;compras@fribordogue.com.br;
;Barretos - SP;Minerva Foods;Alexandre Rodrigues;(17) 3321-3355;Av. Antônio Manso Bernardes, S/N - Chácara Minerva, Barretos - SP, 14781-545;compras-corporativa@minervafoods.com;
;Bauru - SP;ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA;geral;(14) 2106-1833;Av. Rosa Malandrino Mondelli, 7 - Núcleo Habitacional Mary Dota, Bauru - SP, 17025-779;suprimentos.bauru@zanchetta.com.br;
;Bauru - SP;Frigorífico Vangelio Mondelli;;(14) 3239-1833;Av. Rosa Malandrino Mondelli, 1000 - Nucleo Hab. Mary Dota, Bauru - SP, 17025-779;;
;Brotas - SP;Frigorifico Campo Alegre;Osmar;(14) 3653-1375;Rod SP 225 Km 110,5, s/n - Campo Alegre - Brotas/SP;compras@stoignacio.com.br ;
;Carapicuíba - SP;Frigorífico Raja Ltda;Fabio Macedo;(11) 2104-7300;Av. Francisco Pignatari, 17 - Vila Gustavo Correia, Carapicuíba - SP, 06310-390;compras@frigorificoraja.com.br;
;Cruzeiro - SP;Frigorífico Cleumar;;;R. Ver. Aurélio Garcês Novaes, 357 - Itagaçaba, Cruzeiro - SP, 12730-130;;
;Estrela D'Oeste - SP;Frigorífico Estrela d´Oeste Ltda;Sidoval Silvestrin (17) 997429498;(17) 3833-2800;R. Mato Grosso, 670 - zona rural, Estrela D'Oeste - SP, 15650-000;;sidoval.silvestrin@frigoestrela.com.br
;Fartura - SP;Piscicultura Cristalina - Frigorífico;vendas@cristalina.net.br;011 2858-4094 - 014 3382-3547;Estrada de Acesso de Fartura à SP287, sn Bairro dos Veados, Fartura - SP CEP: 18870-000;;
;Guapiaçu - SP;Frigorífico Dom Peter;Pedro Henrique;(17) 3222-6661 (17) 3304-2216;Rod. Assis Chateaubriand, S/n - Luzitânia, Guapiaçu - SP, 15110-000;contato@dompeter.ind.br;
;GUARANTÃ-SP;Frigorifico Avícola Guarantã LTDA;contato@frangosnoroeste.com;(14)3586-1689;Av. Silvio do Prado Queiroz, 1, Guarantã - SP, 16570-000;;
;Itapira - SP;Frigorífico Avícola Família;contato@frangouniao.com.br;(19) 3843-1269 / 2375 ;Estrada Municipal Abatedouro União - La Motel Seducao, s/n - Centro, Itapira - SP, 13970-030;;
;Itapuí - SP;Frigorífico Itabom;Matheus Fantin;(14) 3664-9100 - (14) 3664-9022;Rodovia Ângelo Poli, KM 01 – Distrito Industrial;matheus.fantin@itabom.com.br;
;Ituperava - SP;Marfrig S/A - Frigorifico;Heitor Fernandes;(11) 45937400;Via de Acesso Shuhei Uetsuka, s/n - Km 2, Promissão - SP, 16370-000;heitor.fernandes@marfrig.com.br;
;Lençóis Paulista - SP;FRIGOL S.A. (SUÍNOS);Tiago Blanco;(14) 3269-3900;R. Europa, 46-228 - Distrito Industrial II Luiz Trecenti, Lençóis Paulista - SP;tiago.blanco@frigol.com.br;
;Onda Verde - SP;Frigorífico Frigo Espanha;sac@frigoespanha.com.br;(17) 3268-1342 ;R. Um, Onda Verde - SP, 15450-000;;
;Paraíso - SP;Frigorífico Suiba;sac@suiba.com.br;(17) 3567-9090;Rodovia, Anel Viário Paulino Alberguini, Nº 110 - Jardim São Paulo, Paraíso - SP, 15825-000;;
;Pirapozinho - SP;Naturafrig Alimentos;contato@naturafrig.com.br;(18) 3269-9999;Rod. Assis Chateaubriand, s/n km 476 Área Rural de Pirapozinho/SP - Cep: 19200-000;;
;Potirendaba - SP;Frigopoti Frigorífico;Lupércio;(17) 3249-3131;Rdv Vicinal Abel Pinho Maia, KM 11,5, Potirendaba - SP, 15105-000;contato@frigopoti.com.br;
;Pres. Prudente - SP;Bon-Mart Frigorífico;Marcia;(18) 3901-3500;Av. Ana Jacinta, 335 - Jardim Bon-Mart, Pres. Prudente - SP, 19027-380;compras2@bonmart.com.br;
;Rancharia - SP;Frigorífico Better Beef;http://www.betterbeef.com.br/;(18) 3265-9510;Rodovia SP 284, S/N - Água das Lavadeiras, Rancharia - SP, 19600-000;;
;Santa Bárbara d'Oeste - SP;Frigorifico Santa Marta Ltda;;(19) 3406-2687;R. Iacanga, 1105 - Jardim Ipiranga, Santa Bárbara d'Oeste - SP, 13468-590;;
;Santa Cruz do Rio Pardo - SP;Abatedouro Beira Rio;Fernando;(14) 3332-2800;R. Eufrosino Martins, 215 - Bairro São José, Santa Cruz do Rio Pardo - SP, 18900-000;contato@bafari.com.br;
;Santana de Parnaíba - SP;Frigorífico Frisil;Adriana;(11) 4705-9800;R. Florianópolis, 333 - Jardim Leda (Fazendinha), Santana de Parnaíba - SP, 06529-302;contato@frisil.com.br;
;Santo André - SP;Marfrig Frigoríficos Comércio Alimentos;;(11) 4422-7200;R. Acarape, 559 - Jardim Cambui, Santo André - SP, 09185-490;;
;São Bernardo do Campo - SP;Frigorífico Marba;SAC@MARBA.COM.BR;(11) 4176-7000;Av. Cézar Magnani, 971 - Paulicéia, São Bernardo do Campo - SP, 09694-000;;
;São Caetano do Sul - SP;Bilisko (Cardeal Indústria e Comércio de Alimentos);cardeal@fcardeal.com.br;(11) 4239-4068;R. Vinte e Oito de Julho, 25/49 - Fundação, São Caetano do Sul - SP, 09520-600;;
;São Caetano do Sul - SP;Frigorífico Cardeal Indústria e Comércio;Susana;(11) 4227-9600;R. Mariano Pamplona, 305 - Fundação, São Caetano do Sul - SP, 09520-440;compras@fcardeal.com.br;
;São Carlos - SP;Frigorífico Suíno Leve Ind Com LTDA;;(16) 3375-3199;Rua Elizário Fernandes de Araújo, 432 - Jardim Cruzeiro do Sul, São Carlos - SP, 13572-130;;
;São José do Rio Preto - SP;Frig West Frigorífico;;(17) 3236-2066;R. XV de Novembro, 3171 - Centro, São José do Rio Preto - SP, 15015-110;;
;São Paulo - SP;S/A Frigorífico Anglo;;(11) 2618-3103;R. da Mooca, 1736 - Brás, São Paulo - SP, 03103-000;;
;São Paulo - SP;Frigorífico Frimar;;(11) 2545-6510;Rua Rio Farias, 56 - Vila Jacuí, São Paulo - SP, 03813-370;;
;São Paulo - SP;Arfrio S.A. Armazéns Gerais Frigoríficos - Centro Administrativo;Waldemar Barbosa;(11) 5501-6600;R. Dr. Geraldo Campos Moreira, 240 - Cidade Monções, São Paulo - SP, 04571-020;wbarbosa@arfrio.com.br;
;São Paulo - SP;Touro Frigorífico;http://www.frigorificotouro.com.br/;(11) 2056-5198;R. Italina, 492 - Itaquera, São Paulo - SP, 08290-705;;
;São Paulo - SP;Frigorífico Santa Catarina;PARADO;(11) 5563-9531;R. Charles Darwin, 459 - Vila Santa Catarina, São Paulo - SP, 04379-060;;
;São Paulo - SP;Frigbrasil Comercial de Carnes e Alimentos;Vanessa;(11) 2951-4005;R. Combate da Lagoa Branca, 150 - Vila Sabrina, São Paulo - SP, 02141-080;compras@frigbrasil.com.br;
;São Paulo - SP;Frigorífico Pacífico;pacifico@frigorificopacifico.com.br;(11) 3831-2401;Rua Dr. Seidel, 300 - Vila Leopoldina, São Paulo - SP, 02675-031;;
;São Paulo - SP;Frigorífico Torres;Wilson;(11) 5011-1255;Av. Gen. Valdomiro de Lima, 125 - Jabaquara, São Paulo - SP, 04344-070;contato@frigorificotorres.com.br;
;São Paulo - SP;Frigorífico Milano Biagio;Fabiano Milano;(11) 3806-0000;R. Padre Senepa, 224 - Vila Monumento, São Paulo - SP, 04264-100;fabianomilano@uol.com.br;
;São Paulo - SP;Frigorífico Pacífico;pacifico@frigorificopacifico.com.br;(11) 3831-6000;Rua Baumann, 300 - Vila Leopoldina, São Paulo - SP, 05318-000;;
;São Paulo - SP;Abatedouro Coroaves Ltda - FRANGO MARINGÁ;;(11) 2024-6060;Av. Vila Ema, 2205 - Sao Lucas, São Paulo - SP, 03281-000;;
;Sertãozinho - SP;Barra Mansa Com de Carnes e Derivados;José Marques;(16) 2105-5300;Sítio Nossa Senhora Aparecida, s/n - Zona Rural, Sertãozinho - SP, 14160-970;jose.marques@barramansaalimentos.com.br;
;Suzano - SP;Frigorífico Suzano;Juliana;(11) 4748-0878;Estr. do Mizukami, 410 - Estância Americana, Suzano - SP, 08630-210;juliana@frigorificosuzano.com.br;
;Tietê - SP;Frigorífico Cancian;cancian@cancian.com.br;(15) 3282-3833;R. Vila Nova, 1797 - Vila Nova, Tietê - SP, 18530-000;;
;Várzea Paulista - SP;Ad'oro;http://www.adoro.com.br/;(11) 4596 - 8400;Rodovia SPA-053/332 s/n Do, R. Arnoldo Gut Jr., SP, 13226-400;;
;Votuporanga - SP;Frigorífico Avícola Votuporanga Ltda;frangorico@frangorico.com.br;(17) 3405-9500;Av. Dr. Augusto Ap. Arroyo Marchi, 3545 IV Distr. Industrial Ronaldo A. David Sayeg CEP: 15507-000. Votuporanga - SP;;
